"SPAR",5.00,4.98,5.94,4.26,169.8M,54900,"2/27/2015","9:35am"
"SPF",8.65,8.705,9.20,6.52,2.371B,3731380,"2/27/2015","9:51am"
"SPPI",6.19,6.11,9.27,5.65,395.7M,1032160,"2/27/2015","9:48am"
"SPTN",26.52,26.40,27.43,19.16,989.9M,160134,"2/27/2015","9:50am"
"SRDX",23.73,23.86,25.99,18.00,308.7M,68702,"2/27/2015","9:41am"
"SSD",36.09,36.16,37.26,28.80,1.772B,194964,"2/27/2015","9:47am"
"SSI",21.31,21.42,25.39,15.71,677.5M,449739,"2/27/2015","9:49am"
"SSP",23.15,23.08,23.48,15.22,1.307B,226303,"2/27/2015","9:51am"
"SSS",91.77,91.578,97.53,71.98,3.095B,215426,"2/27/2015","9:50am"
"SSYS",61.45,61.64,131.09,51.55,3.137B,1729380,"2/27/2015","9:50am"
"STBA",28.91,28.88,30.80,22.21,860.5M,64818,"2/27/2015","9:42am"
"STC",37.14,37.24,39.08,27.02,894.0M,111948,"2/27/2015","9:50am"
"STL",13.87,13.90,14.62,10.84,1.167B,484508,"2/27/2015","9:49am"
"STMP",56.81,56.77,59.06,27.18,905.5M,167634,"2/27/2015","9:39am"
"STRI",1.58,1.58,5.55,1.30,13.9M,54357,"2/26/2015","4:00pm"
"SUP",19.43,19.25,21.77,17.04,512.6M,79823,"2/27/2015","9:49am"
"SUPX",32.98,32.98,33.17,18.98,N/A,137081,"4/1/2014","3:00pm"
"SUSQ",13.59,13.52,13.66,9.00,2.461B,1897520,"2/27/2015","9:50am"
"SWM",46.58,46.56,48.34,35.48,1.401B,147751,"2/27/2015","9:47am"
"SWS",N/A,0.00,N/A,N/A,N/A,0,"N/A","N/A"
"SWX",57.56,57.67,64.20,47.21,2.683B,180959,"2/27/2015","9:49am"
"SXC",17.73,17.88,24.57,14.99,1.186B,512393,"2/27/2015","9:51am"
"SXI",72.56,72.88,87.05,52.38,922.2M,59731,"2/27/2015","9:47am"
"SYKE",23.09,23.23,24.71,19.01,982.1M,189233,"2/27/2015","9:50am"
"SYMM",7.18,7.18,7.31,4.36,N/A,0,"11/25/2013","4:00pm"
"SYNA",85.105,85.51,93.27,55.46,3.139B,855172,"2/27/2015","9:49am"
"TBI",23.12,23.22,31.30,19.82,928.4M,348338,"2/27/2015","9:51am"
"TCBI",46.94,46.375,67.08,40.40,2.122B,809746,"2/27/2015","9:50am"
"TDY",101.13,101.55,109.18,90.54,3.778B,329584,"2/27/2015","9:50am"
"TG",20.96,20.786,25.35,16.68,671.8M,64082,"2/27/2015","9:44am"
"THS",85.21,85.10,92.92,68.36,3.638B,501825,"2/27/2015","9:50am"
"TMP",52.80,52.56,57.18,43.51,782.9M,28143,"2/27/2015","9:30am"
"TNC",66.97,66.23,77.78,60.42,1.210B,59320,"2/27/2015","9:46am"
"TQNT",27.55,27.55,28.67,7.96,N/A,3768850,"12/31/2014","4:00pm"
"TRAK",40.68,40.50,58.84,36.43,2.191B,587410,"2/27/2015","9:50am"
"TRLG",31.98,31.98,32.00,31.215,N/A,0,"7/30/2013","3:00pm"
"TRST",6.80,6.782,7.50,6.32,643.3M,327387,"2/27/2015","9:45am"
"TSRA",40.02,39.965,42.66,20.38,2.108B,580346,"2/27/2015","9:51am"
"TTC",67.53,67.645,69.50,55.77,3.791B,225485,"2/27/2015","9:48am"
"TTEC",25.04,24.75,29.97,21.52,1.206B,100372,"2/27/2015","9:38am"
"TTEK",25.38,25.32,30.92,22.96,1.561B,402426,"2/27/2015","9:50am"
"TTI",4.98,5.78,13.43,4.72,460.1M,934313,"2/27/2015","9:51am"
"TTMI",8.86,8.74,9.13,5.59,728.4M,546708,"2/27/2015","9:49am"
